batch_size,epochs,fl_filter,ol_units,n_dropout,drop_value,n_layer,lr,patience,val_loss,val_accuracy,val_precision,val_recall,val_auc
8,10,8,3,1,0.5,2,0.0001,5,0.7890449166297913,0.5877659320831299,0.5877659320831299,0.5877659320831299,0.8264451026916504
8,10,8,3,1,0.5,3,0.0001,5,0.8234891891479492,0.5877659320831299,0.5877659320831299,0.5877659320831299,0.8202365040779114
8,10,16,3,1,0.5,2,0.0001,5,0.7898961305618286,0.5797872543334961,0.5797872543334961,0.5797872543334961,0.8021571040153503
8,10,16,3,1,0.5,3,0.0001,5,0.680975079536438,0.6968085169792175,0.7038043737411499,0.688829779624939,0.876724123954773
8,10,32,3,1,0.5,2,0.0001,5,0.6051761507987976,0.7952127456665039,0.7946666479110718,0.792553186416626,0.9210456609725952
8,10,32,3,1,0.5,3,0.0001,5,0.6398106217384338,0.7393617033958435,0.7555555701255798,0.7234042286872864,0.8910476565361023
8,20,8,3,1,0.5,2,0.0001,5,0.6715013384819031,0.7659574747085571,0.7799443006515503,0.7446808218955994,0.9062782526016235
8,20,8,3,1,0.5,3,0.0001,5,0.7401098608970642,0.6542553305625916,0.6531165242195129,0.6409574747085571,0.8598259687423706
8,20,16,3,1,0.5,2,0.0001,5,0.6412410140037537,0.7606382966041565,0.7628032565116882,0.7526595592498779,0.8997460603713989
8,20,16,3,1,0.5,3,0.0001,5,0.6334211826324463,0.7367021441459656,0.7378378510475159,0.7260638475418091,0.8920466899871826
8,20,32,3,1,0.5,2,0.0001,5,0.5755341649055481,0.7872340679168701,0.8033707737922668,0.7606382966041565,0.9145575761795044
8,20,32,3,1,0.5,3,0.0001,5,0.5262584090232849,0.8031914830207825,0.8109589219093323,0.7872340679168701,0.9279845952987671
16,10,8,3,1,0.5,2,0.0001,5,0.7978757619857788,0.58423912525177,0.58423912525177,0.58423912525177,0.8135024309158325
16,10,8,3,1,0.5,3,0.0001,5,0.7496634721755981,0.633152186870575,0.6402438879013062,0.570652186870575,0.836027979850769
16,10,16,3,1,0.5,2,0.0001,5,0.7549554705619812,0.635869562625885,0.6480938196182251,0.6005434989929199,0.8475916385650635
16,10,16,3,1,0.5,3,0.0001,5,0.7128309011459351,0.625,0.6239781975746155,0.6222826242446899,0.8641875982284546
16,10,32,3,1,0.5,2,0.0001,5,0.5980759263038635,0.7635869383811951,0.7734806537628174,0.760869562625885,0.9169626235961914
16,10,32,3,1,0.5,3,0.0001,5,0.6242748498916626,0.7853260636329651,0.7899159789085388,0.7663043737411499,0.9069957137107849
16,20,8,3,1,0.5,2,0.0001,5,0.7845643758773804,0.5869565010070801,0.5869565010070801,0.5869565010070801,0.8083482384681702
16,20,8,3,1,0.5,3,0.0001,5,0.7455245852470398,0.60597825050354,0.619596540927887,0.58423912525177,0.8451844453811646
16,20,16,3,1,0.5,2,0.0001,5,0.685221254825592,0.64402174949646,0.6460674405097961,0.625,0.8702907562255859
16,20,16,3,1,0.5,3,0.0001,5,0.7248358726501465,0.6385869383811951,0.6361111402511597,0.6222826242446899,0.8586809039115906
16,20,32,3,1,0.5,2,0.0001,5,0.5989289879798889,0.7771739363670349,0.783561646938324,0.7771739363670349,0.9149208664894104
16,20,32,3,1,0.5,3,0.0001,5,0.5383889675140381,0.79347825050354,0.7923497557640076,0.7880434989929199,0.9231395125389099
32,10,8,3,1,0.5,2,0.0001,5,0.7348970174789429,0.6136363744735718,0.628125011920929,0.5710227489471436,0.8576922416687012
32,10,8,3,1,0.5,3,0.0001,5,0.7680476903915405,0.5909090638160706,0.5909090638160706,0.5909090638160706,0.8103955984115601
32,10,16,3,1,0.5,2,0.0001,5,0.7774333357810974,0.5880681872367859,0.6339869499206543,0.5511363744735718,0.804723858833313
32,10,16,3,1,0.5,3,0.0001,5,0.7727991342544556,0.5909090638160706,0.5982404947280884,0.5795454382896423,0.8219226598739624
32,10,32,3,1,0.5,2,0.0001,5,0.7631142139434814,0.6875,0.6823529601097107,0.6590909361839294,0.8678936958312988
32,10,32,3,1,0.5,3,0.0001,5,0.6625379323959351,0.7386363744735718,0.7537537813186646,0.7130681872367859,0.8881129622459412
32,20,8,3,1,0.5,2,0.0001,5,0.7822979092597961,0.5852272510528564,0.6158730387687683,0.5511363744735718,0.8080812692642212
32,20,8,3,1,0.5,3,0.0001,5,0.7200472354888916,0.6420454382896423,0.6656346917152405,0.6107954382896423,0.8583358526229858
32,20,16,3,1,0.5,2,0.0001,5,0.6470962166786194,0.7642045617103577,0.7716763019561768,0.7585227489471436,0.9196535348892212
32,20,16,3,1,0.5,3,0.0001,5,0.6201815009117126,0.7386363744735718,0.7682539820671082,0.6875,0.8994563817977905
32,20,32,3,1,0.5,2,0.0001,5,0.5608440041542053,0.7840909361839294,0.7877907156944275,0.7698863744735718,0.9214492440223694
32,20,32,3,1,0.5,3,0.0001,5,0.5425336360931396,0.7926136255264282,0.7948718070983887,0.7926136255264282,0.9252123236656189
