batch_size;epochs;fl_filter;ol_units;n_dropout;drop_value;n_layer;lr;patience;val_loss;val_accuracy;val_precision;val_recall;val_auc
16;30;32;3;3;0.48470099402071276;4;0.0002611943854719418;15;0.8807302713394165;0.5625;0.5625;0.5625;0.763671875
16;20;8;3;1;0.552215667354683;4;0.0004842036684561194;5;0.7530430555343628;0.625;0.625;0.625;0.828125
16;30;16;3;1;0.15983704773511426;3;0.0001092118370911088;15;0.974614679813385;0.5625;0.5625;0.5625;0.7041015625
8;50;8;3;1;0.5963449220870031;4;0.00042095109985536267;15;0.9539821743965149;0.5416666865348816;0.5416666865348816;0.5416666865348816;0.7039930820465088
16;20;8;3;1;0.3035075185478917;4;0.0003241595591022179;20;1.0010795593261719;0.5;0.5;0.5;0.7216796875
8;10;64;3;3;0.6458076347874333;5;0.00016266467713986073;10;0.8627779483795166;0.625;0.625;0.625;0.7625868320465088
16;10;8;3;3;0.1774509450592306;2;0.00017034694656213392;15;0.8645185828208923;0.5625;0.5625;0.5625;0.75390625
16;10;16;3;3;0.19072349155011398;4;0.0008947082510556321;10;1.3141448497772217;0.4375;0.4375;0.4375;0.67578125
16;50;64;3;2;0.5670817176507389;2;0.00010673225768017187;5;0.9032455682754517;0.5;0.5;0.5;0.70703125
16;50;16;3;1;0.21583541834103614;4;0.00038666220861855973;10;0.8235906958580017;0.6875;0.6875;0.6875;0.8046875
8;30;64;3;1;0.6920240272671343;5;0.00011252063210493918;20;0.8245471119880676;0.5833333134651184;0.5833333134651184;0.5833333134651184;0.799913227558136
8;10;16;3;1;0.4362639351945813;2;0.00023555799478903352;20;0.862403154373169;0.625;0.625;0.625;0.7825521230697632
8;30;16;3;2;0.4578613978679381;5;0.00010832189628016354;5;0.9308624863624573;0.5833333134651184;0.5833333134651184;0.5833333134651184;0.7894965410232544
8;50;32;3;2;0.34859981607363605;2;0.00010795999125849928;20;0.892195463180542;0.625;0.625;0.625;0.7790799140930176
16;50;64;3;2;0.45698946413712116;5;0.00012841546892160448;15;0.9676040410995483;0.4375;0.4375;0.4375;0.697265625
8;40;8;3;2;0.5631210679079702;3;0.0003201569385793336;5;0.8976990580558777;0.5833333134651184;0.5833333134651184;0.5833333134651184;0.7408854365348816
